Sub_W,Sub_L,Sub_H,Patch_W,Patch_L,Feed_W,Slot1_W,Slot1_L,Slot2_W,Slot2_L,Freq_GHz,Gain,Directivity,S11(dB),Rad_eff,Total_eff,VSWR
6.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,1,-46.247821,-22.964855,-2.1477621,0.000176659,6.86E-05,8.1294853
6.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,2,-35.670161,134.99965,-1.1090487,8.57E-18,2.00E-18,15.684953
6.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,4,-20.656109,141.34575,-0.15594254,6.31E-17,2.00E-18,111.40177
6.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,6,47.563551,-1.4239727,0.065269599,79204.963,0.00079204963,1
6.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,10,-9.5138303,-0.92211582,-0.053128404,0.13830203,0.0017971793,326.97823
6.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,12,-12.083541,0.037913672,-0.15392924,0.061355645,0.0022102095,112.85869
6.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,26,6.7363655,7.4315409,-0.9650411,0.85208411,0.16817915,18.019592
6.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,28,6.6376327,7.7652856,-25.6917,0.77132022,0.76877772,1.109548
6.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,30,6.5458342,7.6394987,-1.438274,0.77738033,0.22119084,12.105798
6.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,36,4.8572072,5.6022403,-2.8932607,0.84235798,0.39953527,6.0596367
6.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,37,5.3340912,6.1723875,-6.451064,0.82446148,0.63151999,2.815516
6.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,38,6.0457644,6.5658725,-4.5767613,0.88713393,0.59080717,3.8830653
6.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,40,5.5559042,6.5682024,-1.7006193,0.79208207,0.25992666,10.247584
6.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,42,3.9059248,5.2833741,-1.1216825,0.72820737,0.16638187,15.508768
6.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,46,0.032652665,0.57393662,-1.6362391,0.88281886,0.27008063,10.648273
6.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,50,-1.5002433,-0.62707939,-9.0954005,0.81786874,0.72064868,2.0813681
6.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,1,-46.601855,126.26692,-2.1383559,0.000179667,6.96E-05,8.1648843
6.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,2,-35.646221,135.02471,-1.1092955,8.57E-18,2.00E-18,15.681474
6.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,4,-20.793338,141.24429,-0.15750273,6.26E-17,2.00E-18,110.29821
6.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,6,47.452057,2.5348961,0.066657689,31025.309,0.00031025309,1
6.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,10,-9.5086896,-0.84118497,-0.051048821,0.13590941,0.0017031966,340.29977
6.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,12,-12.119172,0.076808275,-0.15296312,0.060311755,0.0021617676,113.57149
6.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,26,6.80868,7.4783078,-0.92207065,0.8571113,0.16266925,18.85765
6.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,28,6.6757713,7.8233082,-26.434374,0.76779683,0.76520046,1.1001211
6.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,30,6.6463892,7.6846968,-1.3829675,0.78735254,0.21673824,12.587759
6.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,36,5.3621647,6.1003648,-3.5236155,0.84368434,0.45744175,4.9975277
